frame,0xFF7B40,0xFFC80C,0x2000410A
1206,0x0,0x0,0x2
1207,0x0,0x0,0x4000
1208,0x0,0x0,0x4000
1209,0x0,0x1,0x4001
1210,0x0,0x1,0x4001
1211,0x0,0x1,0x4001
1212,0x0,0x0,0x0
1213,0x0,0x0,0x2
1214,0x0,0x0,0x0
1215,0x0,0x1,0x4001
1216,0x0,0x1,0x3
1217,0x0,0x1,0x4001
1218,0x0,0x0,0x0
1219,0x0,0x0,0x2
1220,0x0,0x0,0x4000
1221,0x0,0x1,0x4001
1222,0x0,0x1,0x4001
1223,0x0,0x1,0x4001
1224,0x0,0x0,0x0
1225,0x0,0x0,0x4000
1226,0x0,0x0,0x4000
1227,0x0,0x1,0x1
1228,0x0,0x1,0x4001
1229,0x0,0x1,0x1
1230,0x0,0x0,0x2
1231,0x0,0x0,0x2
1232,0x0,0x0,0x0
1233,0x0,0x1,0x3
1234,0x0,0x0,0x4000
1235,0x0,0x1,0x2001
1236,0x0,0x1,0x6000
1237,0x0,0x1,0x6000
1238,0x0,0x1,0x6000
1239,0x0,0x1,0x6000
1240,0x0,0x1,0x2002
1241,0x0,0x1,0x2000
1242,0x0,0x1,0x2000
1243,0x0,0x1,0x2000
1244,0x0,0x1,0x6000
1245,0x0,0x1,0x6000
1246,0x0,0x1,0x6000
1247,0x0,0x1,0x6000
1248,0x0,0x1,0x2002
1249,0x0,0x1,0x2000
1250,0x0,0x1,0x2000
1251,0x0,0x1,0x2000
1252,0x0,0x1,0x6000
1253,0x0,0x1,0x4000
1254,0x0,0x1,0x4000
1255,0x0,0x1,0x4000
1256,0x0,0x1,0x2
1257,0x0,0x1,0x4000
1258,0x0,0x1,0x4000
1259,0x1,0x0,0x0
1260,0x1,0x0,0x4000
1261,0x1,0x0,0x2
1262,0x2,0x1,0x1
1263,0x2,0x1,0x4001
1264,0x2,0x1,0x3
1265,0x2,0x0,0x0
1266,0x2,0x0,0x4000
1267,0x2,0x0,0x2
1268,0x2,0x1,0x1
1269,0x2,0x1,0x4001
1270,0x2,0x1,0x3
1271,0x2,0x0,0x0
1272,0x2,0x0,0x4000
1273,0x2,0x0,0x2
