frame,0xFF7B40,0xFFC80C,0x2000410A
1322,0x2,0x1,0x1
1323,0x2,0x1,0x4001
1324,0x2,0x1,0x4001
1325,0x2,0x0,0x0
1326,0x2,0x0,0x4000
1327,0x2,0x0,0x2
1328,0x2,0x1,0x1
1329,0x2,0x1,0x4001
1330,0x2,0x1,0x1
1331,0x2,0x0,0x0
1332,0x2,0x0,0x4000
1333,0x2,0x0,0x2
1334,0x2,0x1,0x1
1335,0x2,0x1,0x4001
1336,0x2,0x1,0x4001
1337,0x2,0x0,0x0
1338,0x2,0x0,0x4000
1339,0x2,0x0,0x0
