cpu,pc,opcode_hash,flags,width,count,first_sequence,first_frame,last_frame,sample_raw,sample_value,min_slot,max_slot
0,0x008b1232,0x00000000,9,2,12,134205684,394,1234,0x008b1232,0x00006b00,0,0
0,0x008b0d48,0x00000000,9,2,142,134212637,395,1255,0x008b0d48,0x00004e71,0,0
0,0x008988ec,0x00000000,9,2,1411,134169756,394,1339,0x008988ec,0x00003499,0,0
0,0x008b1146,0x00000000,10,1,83,458028992,1258,1339,0x008b92d9,0x00000000,0,0
1,0xc0000490,0x00000000,9,2,318,135248366,398,1339,0xc0000490,0x0000b0bc,0,0
2,0xc0000490,0x00000000,9,2,2,181177975,509,512,0xc0000490,0x0000b0bc,0,0
0,0x008b11b8,0x00000000,9,2,7,169945069,482,784,0x008b11b8,0x0000121c,0,0
2,0xc0000416,0x00000000,9,2,12533,135184874,398,1339,0xc0000416,0x00006030,0,0
1,0xc0000416,0x00000000,9,2,33472,135248582,398,1339,0xc0000416,0x00006030,0,0
0,0x0088e346,0x00000000,9,2,89,268783659,740,1112,0x0088e346,0x000073f8,0,0
0,0x008b06f8,0x00000000,10,2,9,133677091,392,742,0x008b8138,0x0000d201,0,0
2,0xc000032a,0x00000000,10,2,11222,135187049,398,1339,0x0600f60e,0x0000ffff,0,0
1,0xc000032a,0x00000000,10,2,26814,135248531,398,1339,0x0600f45e,0x0000fbf7,0,0
0,0x008b0c54,0x00000000,9,2,2,1311381,9,15,0x008b0c54,0x00004e71,0,0
0,0x008b153c,0x00000000,10,1,6,288569883,794,834,0x00ff857d,0x0000002c,0,0
2,0xc000039c,0x00000000,9,2,1824,135184852,398,1339,0xc000039c,0x0000402a,0,0
1,0xc000039c,0x00000000,9,2,1709,135251218,398,1339,0xc000039c,0x0000402a,0,0
0,0x008989c8,0x00000000,6,2,1411,134173085,394,1339,0x00a15112,0x00000000,1,1
0,0x008b06f0,0x00000000,9,2,9,133677085,392,742,0x008b06f0,0x0000301c,0,0
2,0xc0000322,0x00000000,9,2,11222,135187042,398,1339,0xc0000322,0x0000221f,0,0
1,0xc0000322,0x00000000,9,2,26814,135248524,398,1339,0xc0000322,0x0000221f,0,0
0,0x0089894e,0x00000000,6,2,1411,134171460,394,1339,0x00a15112,0x00000000,1,1
0,0x008b1534,0x00000000,9,2,13,273875876,753,834,0x008b1534,0x00001b40,0,0
0,0x008b0b60,0x00000000,9,2,15,1312183,9,1235,0x008b0b60,0x00004eba,0,0
0,0x008b0676,0x00000000,9,2,18,133676852,392,742,0x008b0676,0x00001346,0,0
0,0x008821f4,0x00000000,6,1,1,457739095,1256,1256,0xffffc828,0x0000000f,0,0
2,0xc00002a8,0x00000000,9,2,12221,135184890,398,1339,0xc00002a8,0x00008d02,0,0
1,0xc00002a8,0x00000000,9,2,28869,135248598,398,1339,0xc00002a8,0x00008d02,0,0
0,0x008b0a74,0x00000000,10,1,1118,3032217,14,1339,0x00ff8504,0x00000000,0,0
2,0xc00006a6,0x00000000,10,4,3016,135427525,398,1339,0x0600ffd8,0x00000000,0,1
1,0xc00006a6,0x00000000,10,4,13910,270039118,743,1232,0x0600ff58,0xffff593f,0,1
0,0x008b0ee4,0x00000000,10,1,466,281348563,774,1234,0x00ff8691,0x00000080,0,0
0,0x008b0ee4,0x00000000,10,2,2,288608662,794,794,0x00ff0004,0x00002a40,1,2
1,0xc000022e,0x00000000,9,2,10183,135177080,398,1339,0xc000022e,0x00004f22,0,0
2,0xc000022e,0x00000000,9,2,6755,135264260,398,1339,0xc000022e,0x00004f22,0,0
0,0x008b0026,0x00000000,10,4,1118,3032222,14,1339,0x00ff850a,0x00000000,0,0
0,0x008b0536,0x00000000,9,2,7,133676408,392,1255,0x008b0536,0x000041fa,0,0
