frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
183,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
184,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
185,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
186,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
187,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
188,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
189,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
190,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
191,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
192,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
193,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
194,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
195,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
196,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
197,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
198,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
199,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
200,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
201,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
202,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
203,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
204,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
205,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
206,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
207,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
208,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
209,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
210,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
211,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
212,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
213,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
214,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
215,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
216,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
217,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
218,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
219,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
220,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
221,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
222,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
223,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
224,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
225,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
226,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
227,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
228,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
229,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
230,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
231,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
232,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
233,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
234,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
235,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
236,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
237,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
238,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
239,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
240,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
241,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
242,127987,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
243,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
244,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
245,128001,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
246,127981,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
247,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
248,127989,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
249,127985,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
250,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
251,127988,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
252,127994,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
253,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
254,128023,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
255,127951,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
256,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
257,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
258,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
259,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
260,128023,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
261,127951,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0000,1
262,127987,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
263,128023,0,307356,0,0,0,1,0x71147DB9,0x43C6,0x0008,1
264,127959,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0000,1
265,127979,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
266,127995,0,307356,0,0,0,1,0x932917E7,0x43C6,0x0008,1
267,127981,0,307356,0,0,0,1,0x3F5F4334,0x43C6,0x0000,1
268,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
