frame,0xFF7B40,0x2600BC64,0x2600BC68,0x2600BC6C,0x2600BC8C,0x2600BC90,0x2600BC00,0x2600BC0C,0x2600FB64,0x20004020
121,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
122,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
123,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
124,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
125,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
126,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
127,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
128,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
129,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
130,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
131,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
132,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
133,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
134,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
135,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
136,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
137,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
138,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
139,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
140,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
141,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
142,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
143,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
144,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
145,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
146,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
147,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
148,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
149,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
150,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
151,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
152,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
153,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
154,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
155,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
156,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
157,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
158,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
159,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
160,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
161,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
162,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
163,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
164,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x106
